Sample No. – No. d’échantillon,Region - Région,Function,Fonction,Origin,Origine,Product,Produit,Date Sampled – Date d’échantillonage,Type of Test,Type d’analyse,Component,Composant,Result - Résultat,Unit - Unité,Plan Code - Code du régime,,,
C2013COUM00058,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Children,Céréales - Enfants,07-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,3,µg/g,2013_TS020,,,
C2013COUM00059,ONTARIO,Domestic,Domestique,CANADA,CANADA,Infant Food - Cereal,Céréales - Nourrissons,09-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.3,µg/g,2013_TS020,,,
C2013COUM00060,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Cookie,Biscuits,08-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,5.7,µg/g,2013_TS020,,,
C2013COUM00061,ONTARIO,Import,Importé,PAKISTAN,PAKISTAN,Spice - Mixed,mélanges d'épices,09-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.1,µg/g,2013_TS020,,,
C2013COUM00062,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bagel,Pain - Bagel,30-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,26.9,µg/g,2013_TS020,,,
C2013COUM00063,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,27-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,22.5,µg/g,2013_TS020,,,
C2013COUM00064,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Cereal - Children,Céréales - Enfants,27-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.6,µg/g,2013_TS020,,,
C2013COUM00065,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Cookie,Biscuits,27-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,8,µg/g,2013_TS020,,,
C2013COUM00066,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,27-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,988,µg/g,2013_TS020,,,
C2013COUM00067,ONTARIO,Import,Importé,INDIA,INDE,Spice - Mixed,mélanges d'épices,29-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,3.7,µg/g,2013_TS020,,,
C2013COUM00068,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Tea - Herbal,Thé - Herbal,27-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,152,µg/g,2013_TS020,,,
C2013COUM00069,ONTARIO,Domestic,Domestique,CANADA,CANADA,Tea - Herbal,Thé - Herbal,27-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,469,µg/g,2013_TS020,,,
C2013COUM00070,ONTARIO,Domestic,Domestique,CANADA,CANADA,Tea - Herbal,Thé - Herbal,30-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,148,µg/g,2013_TS020,,,
C2013COUM00071,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,28-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,14.7,µg/g,2013_TS020,,,
C2013COUM00072,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Cereal - Adult,Céréales - Adultes,29-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,15.5,µg/g,2013_TS020,,,
C2013COUM00073,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Infant Food - Cereal,Céréales - Nourrissons,29-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.2,µg/g,2013_TS020,,,
C2013COUM00074,ONTARIO,Import,Importé,UNITED KINGDOM,ROYAUME-UNI,Spice - Mixed,mélanges d'épices,03-Aug-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.6,µg/g,2013_TS020,,,
C2013COUM00075,ONTARIO,Import,Importé,INDIA,INDE,Spice - Mixed,mélanges d'épices,03-Aug-13,COUMARIN,COUMARIN,Coumarin,La coumarine,5.3,µg/g,2013_TS020,,,
C2013COUM00076,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,15-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,53.4,µg/g,2013_TS020,,,
C2013COUM00077,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Cereal - Children,Céréales - Enfants,05-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.7,µg/g,2013_TS020,,,
C2013COUM00078,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,05-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,199,µg/g,2013_TS020,,,
C2013COUM00079,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Tea - Herbal,Thé - Herbal,05-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1560,µg/g,2013_TS020,,,
C2013COUM00080,ONTARIO,Domestic,Domestique,CANADA,CANADA,Baking Mixes,Mélange à pâte,26-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,12.6,µg/g,2013_TS020,,,
C2013COUM00081,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,26-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,8.4,µg/g,2013_TS020,,,
C2013COUM00082,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,25-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,10.9,µg/g,2013_TS020,,,
C2013COUM00083,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Granola/Cereal Bar,Barre Granola/de céréales,25-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,7.5,µg/g,2013_TS020,,,
C2013COUM00084,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Herbal,Thé - Herbal,26-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,123,µg/g,2013_TS020,,,
C2013COUM00085,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bread - Other,Pain - Autre,28-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,12.3,µg/g,2013_TS020,,,
C2013COUM00086,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bread - Other,Pain - Autre,28-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,3,µg/g,2013_TS020,,,
C2013COUM00087,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Oatmeal,Flocons d'avoine,28-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,14.2,µg/g,2013_TS020,,,
